ppt_id,trial,stimulus,script,lexicality,word_eng,age,language_status,correct_response,response,correct,rt,rt_sec
5,23,chinese_realword_invite.png,chinese,word,invite,22,English-dominant,word,word,TRUE,600,0.6
5,24,chinese_realword_pinch.png,chinese,word,pinch,22,English-dominant,word,word,TRUE,657.0000000000146,0.6570000000000146
5,25,chinese_realword_wine.png,chinese,word,wine,22,English-dominant,word,word,TRUE,566,0.566
5,26,latin_realword_eat.png,latin,word,eat,22,English-dominant,word,word,TRUE,791,0.791
5,27,chinese_nonword_island.png,chinese,nonword,island,22,English-dominant,nonword,nonword,TRUE,1788,1.788
5,28,chinese_realword_flower.png,chinese,word,flower,22,English-dominant,word,word,TRUE,599,0.599
5,29,chinese_nonword_bag.png,chinese,nonword,bag,22,English-dominant,nonword,nonword,TRUE,2131,2.131
5,30,chinese_realword_sea.png,chinese,word,sea,22,English-dominant,word,word,TRUE,691,0.691
5,31,latin_nonword_pickaxe.png,latin,nonword,pickaxe,22,English-dominant,nonword,nonword,TRUE,656,0.656
5,32,chinese_nonword_tree.png,chinese,nonword,tree,22,English-dominant,nonword,nonword,TRUE,1423.0000000000146,1.4230000000000145
5,33,latin_realword_keen.png,latin,word,keen,22,English-dominant,word,word,TRUE,998,0.998
5,34,chinese_realword_medicine.png,chinese,word,medicine,22,English-dominant,word,word,TRUE,724,0.724
5,35,chinese_realword_put.png,chinese,word,put,22,English-dominant,word,word,TRUE,690.0000000000146,0.6900000000000146
5,36,chinese_nonword_peach.png,chinese,nonword,peach,22,English-dominant,nonword,nonword,TRUE,790,0.79
5,37,chinese_nonword_change.png,chinese,nonword,change,22,English-dominant,nonword,nonword,TRUE,1464,1.464
5,38,chinese_realword_tea.png,chinese,word,tea,22,English-dominant,word,word,TRUE,690,0.69
5,39,latin_realword_wealth.png,latin,word,wealth,22,English-dominant,word,word,TRUE,690.0000000000146,0.6900000000000146
5,40,latin_realword_grass.png,latin,word,grass,22,English-dominant,word,word,TRUE,789,0.789
6,1,chinese_nonword_wet.png,chinese,nonword,wet,32,balanced,nonword,nonword,TRUE,1651,1.651
6,2,latin_nonword_milk.png,latin,nonword,milk,32,balanced,nonword,nonword,TRUE,1499,1.499
6,3,latin_realword_cat.png,latin,word,cat,32,balanced,word,word,TRUE,1051,1.051
6,4,latin_realword_pinch.png,latin,word,pinch,32,balanced,word,word,TRUE,3433,3.433
6,5,latin_nonword_peach.png,latin,nonword,peach,32,balanced,nonword,nonword,TRUE,1018,1.018
6,6,latin_nonword_praise.png,latin,nonword,praise,32,balanced,nonword,nonword,TRUE,1384,1.384
6,7,chinese_realword_prawn.png,chinese,word,prawn,32,balanced,word,word,TRUE,967,0.967
6,8,latin_nonword_tree.png,latin,nonword,tree,32,balanced,nonword,nonword,TRUE,816,0.816
6,9,latin_nonword_good.png,latin,nonword,good,32,balanced,nonword,nonword,TRUE,834,0.834
6,10,chinese_nonword_brain.png,chinese,nonword,brain,32,balanced,nonword,nonword,TRUE,1366,1.366
6,11,latin_realword_pat.png,latin,word,pat,32,balanced,word,word,TRUE,1232,1.232
6,12,chinese_realword_blink.png,chinese,word,blink,32,balanced,word,word,TRUE,2717,2.717
6,13,chinese_realword_grass.png,chinese,word,grass,32,balanced,word,word,TRUE,751,0.751
6,14,chinese_realword_sand.png,chinese,word,sand,32,balanced,word,word,TRUE,567,0.567
6,15,latin_realword_sea.png,latin,word,sea,32,balanced,word,word,TRUE,699,0.699
6,16,chinese_nonword_pickaxe.png,chinese,nonword,pickaxe,32,balanced,nonword,nonword,TRUE,1651,1.651
6,17,chinese_nonword_paper.png,chinese,nonword,paper,32,balanced,nonword,nonword,TRUE,801,0.801
6,18,latin_realword_medicine.png,latin,word,medicine,32,balanced,word,word,TRUE,1649,1.649
6,19,chinese_realword_eat.png,chinese,word,eat,32,balanced,word,word,TRUE,518,0.518
6,20,chinese_nonword_scoop.png,chinese,nonword,scoop,32,balanced,nonword,nonword,TRUE,917,0.917
6,21,latin_realword_flower.png,latin,word,flower,32,balanced,word,word,TRUE,1351,1.351
6,22,chinese_realword_pearl.png,chinese,word,pearl,32,balanced,word,word,TRUE,667,0.667
6,23,latin_nonword_robe.png,latin,nonword,robe,32,balanced,nonword,nonword,TRUE,834,0.834
6,24,latin_nonword_shave.png,latin,nonword,shave,32,balanced,nonword,nonword,TRUE,1016,1.016
